lead_id,created_at,first_name,last_name,email,phone,country,source,campaign,funnel_type,landing_page,utm_source,utm_medium,utm_campaign,assigned_setter,assigned_closer,current_stage,lead_score,contacted_at,first_response_at,booking_id,sale_id
lead_6832085a6271,2026-04-09T03:07:34,Danielle,Johnson,john21@example.net,(419) 600-1338 x908,Canada,Meta Ads,Evergreen Wealth,Evergreen,/evergreen-wealth,meta_ads,paid_social,evergreen_wealth,Alex Morgan,Riley Carter,New Lead,55,2026-04-09T05:46:34,2026-04-09T03:56:34,,
lead_7aac607b24ae,2026-02-12T19:19:39,Jennifer,Miles,lrobinson@example.com,726-542-3511,Canada,Referral,Client Referral,Referral,/client-referral,referral,organic,client_referral,Alex Morgan,Morgan Reed,New Lead,91,2026-02-12T21:18:39,2026-02-12T20:14:39,,
lead_1fa4df86d819,2026-02-23T22:58:27,Colin,Abbott,lindsay78@example.org,+1 (418) 495-9310,Canada,Referral,Client Referral,Referral,/client-referral,referral,organic,client_referral,Jordan Lee,Morgan Reed,New Lead,63,2026-02-23T23:42:27,2026-02-23T23:25:27,,
lead_798bf3fd2837,2026-03-11T16:57:54,Kendra,Galloway,michellejames@example.com,1 (425) 534-1928,United States,Meta Ads,Evergreen Wealth,Evergreen,/evergreen-wealth,meta_ads,paid_social,evergreen_wealth,Alex Morgan,Riley Carter,New Lead,68,2026-03-11T18:30:54,2026-03-11T18:54:54,,
lead_1ef69d16444e,2026-06-29T02:12:28,Frank,Gray,gabriellecameron@example.org,(805) 641-3953,Canada,Google Ads,High Intent Search,Evergreen,/high-intent-search,google_ads,cpc,high_intent_search,Jordan Lee,Riley Carter,New Lead,66,2026-06-29T03:53:28,2026-06-29T02:34:28,,
lead_df655f171be4,2026-04-23T02:39:21,Randall,Rocha,ithomas@example.org,(184) 969-6532 x871,United States,Organic,Organic Content,Organic,/organic-content,organic,organic,organic_content,Alex Morgan,Riley Carter,New Lead,50,2026-04-23T03:33:21,2026-04-23T03:01:21,,
lead_eb3c701e3b4e,2026-01-16T11:51:27,Michelle,Hernandez,laurahenderson@example.org,+1 (569) 784-8018,Mexico,Meta Ads,Investor Calculator,Evergreen,/investor-calculator,meta_ads,paid_social,investor_calculator,Jordan Lee,Casey Bennett,New Lead,26,2026-01-16T12:55:27,2026-01-16T12:31:27,,
lead_605c2b28f8cb,2026-02-01T14:01:22,Kayla,Peterson,ryan70@example.net,1-682-814-8932,Canada,Google Ads,Real Estate Mentorship,Evergreen,/real-estate-mentorship,google_ads,cpc,real_estate_mentorship,Taylor Brooks,Casey Bennett,New Lead,48,2026-02-01T15:40:22,2026-02-01T14:09:22,,
lead_4c073fa81288,2026-04-29T06:45:22,Kathryn,Ryan,georgetracy@example.org,1 (943) 039-1171,Canada,Referral,Partner Referral,Referral,/partner-referral,referral,organic,partner_referral,Taylor Brooks,Morgan Reed,New Lead,72,2026-04-29T09:32:22,2026-04-29T06:59:22,,
lead_f3543bf0e81e,2026-02-22T10:02:52,Katie,Anderson,karroyo@example.com,(496) 383-4657 x871,United States,Meta Ads,Investor Calculator,Evergreen,/investor-calculator,meta_ads,paid_social,investor_calculator,Alex Morgan,Riley Carter,New Lead,35,2026-02-22T12:50:52,2026-02-22T10:18:52,,
lead_909f71d29f55,2026-02-14T11:26:28,Jeffrey,Morgan,briannasmith@example.net,431-051-8347,Mexico,Meta Ads,Evergreen Wealth,Evergreen,/evergreen-wealth,meta_ads,paid_social,evergreen_wealth,Jordan Lee,Casey Bennett,New Lead,52,2026-02-14T11:39:28,2026-02-14T13:12:28,,
lead_ad71f1c5f4f4,2026-06-20T04:10:08,Amber,Cummings,esanchez@example.com,(111) 656-6701,Canada,Meta Ads,Mentorship VSL,Evergreen,/mentorship-vsl,meta_ads,paid_social,mentorship_vsl,Jordan Lee,Casey Bennett,New Lead,34,2026-06-20T05:35:08,2026-06-20T04:44:08,,
lead_2df0736fdaac,2026-01-28T17:49:47,Richard,Morgan,wrightjames@example.com,162 473 1781,Canada,Webinar,VIP Webinar,Webinar,/vip-webinar,webinar,organic,vip_webinar,Taylor Brooks,Riley Carter,New Lead,69,2026-01-28T19:01:47,2026-01-28T18:10:47,,
lead_20e3b3c5685e,2026-06-24T08:09:28,Denise,Fernandez,novaksara@example.org,767 736 0260,Canada,Organic,Organic Content,Organic,/organic-content,organic,organic,organic_content,Alex Morgan,Morgan Reed,New Lead,63,2026-06-24T10:43:28,2026-06-24T08:22:28,,
lead_1e6363c53812,2026-05-27T18:12:00,Joseph,Bowers,smitchell@example.net,(872) 343-0980 x500,Mexico,Organic,Organic Content,Organic,/organic-content,organic,organic,organic_content,Alex Morgan,Riley Carter,New Lead,53,2026-05-27T18:29:00,2026-05-27T18:32:00,,
lead_df7550bbaafc,2026-03-23T23:24:28,Wesley,Farrell,brianromero@example.org,191.361.9399,Canada,Meta Ads,Mentorship VSL,Evergreen,/mentorship-vsl,meta_ads,paid_social,mentorship_vsl,Jordan Lee,Riley Carter,New Lead,87,2026-03-24T02:01:28,2026-03-23T23:44:28,,
lead_8a3947c9b05b,2026-04-18T10:13:10,Christine,Barnes,sarah35@example.org,1-262-475-1079,United States,Direct,Direct Traffic,Evergreen,/direct-traffic,direct,organic,direct_traffic,Alex Morgan,Riley Carter,New Lead,40,2026-04-18T10:20:10,2026-04-18T10:45:10,,
lead_83b9b1c5f6fa,2026-05-30T05:55:46,Charles,Lewis,david51@example.org,1 (542) 784-9808,Canada,Webinar,VIP Webinar,Webinar,/vip-webinar,webinar,organic,vip_webinar,Jordan Lee,Casey Bennett,New Lead,47,2026-05-30T08:44:46,2026-05-30T06:58:46,,
lead_21c8baffadb5,2026-05-21T05:11:34,Sarah,Garcia,josephpreston@example.net,(224) 493-5348 x740,France,Meta Ads,Evergreen Wealth,Evergreen,/evergreen-wealth,meta_ads,paid_social,evergreen_wealth,Alex Morgan,Riley Carter,New Lead,26,2026-05-21T06:23:34,2026-05-21T05:50:34,,
lead_35be5df1170e,2026-06-13T10:27:48,Cynthia,Calderon,smithkellie@example.net,1-927-868-0112,Canada,Email Campaign,Database Reactivation,Evergreen,/database-reactivation,email_campaign,organic,database_reactivation,Alex Morgan,Morgan Reed,New Lead,61,2026-06-13T13:15:48,2026-06-13T10:38:48,,
lead_375e51aebf66,2026-04-15T17:41:18,Barry,Wood,russellwilliams@example.com,453-315-8692,Mexico,Google Ads,High Intent Search,Evergreen,/high-intent-search,google_ads,cpc,high_intent_search,Taylor Brooks,Casey Bennett,New Lead,59,2026-04-15T20:01:18,2026-04-15T18:40:18,,
lead_d5e2dc347b34,2026-06-30T09:54:48,Michelle,Cherry,nicolejohnson@example.net,1 (463) 421-6073,Mexico,Organic,Organic Content,Organic,/organic-content,organic,organic,organic_content,Jordan Lee,Morgan Reed,New Lead,52,2026-06-30T11:31:48,2026-06-30T10:24:48,,
lead_2070320b7cb2,2026-01-16T07:02:04,Lisa,Stevens,lori33@example.org,(665) 414-5868,United States,Meta Ads,Mentorship VSL,Evergreen,/mentorship-vsl,meta_ads,paid_social,mentorship_vsl,Alex Morgan,Riley Carter,New Lead,46,2026-01-16T07:28:04,2026-01-16T07:12:04,,
lead_619e755ced09,2026-05-09T02:39:42,Sheila,Wilson,gregory40@example.org,+1 (555) 698-1693,Mexico,Webinar,5-Day Investor Challenge,Webinar,/5-day-investor-challenge,webinar,organic,5-day_investor_challenge,Alex Morgan,Casey Bennett,New Lead,84,2026-05-09T04:45:42,2026-05-09T03:01:42,,
lead_6289c4e1693f,2026-02-11T03:03:04,Bradley,Graham,michaeljones@example.net,1 (595) 148-4656,United States,Organic,Organic Content,Organic,/organic-content,organic,organic,organic_content,Taylor Brooks,Morgan Reed,New Lead,29,2026-02-11T05:26:04,2026-02-11T03:46:04,,
lead_a5485446600f,2026-05-11T10:17:17,Angela,Lee,lbyrd@example.net,1-668-044-3699,Canada,Webinar,VIP Webinar,Webinar,/vip-webinar,webinar,organic,vip_webinar,Taylor Brooks,Casey Bennett,New Lead,61,2026-05-11T13:08:17,2026-05-11T10:59:17,,
