sale_id,lead_id,booking_id,opportunity_id,closer_name,offer_date,close_date,offer_status,product_name,contract_value,payment_plan,upfront_amount,recurring_amount,expected_installments,discount_amount
sale_33a12f2ce5a6,lead_0675edea68ea,book_cbfb675f8ce2,opp_c31fbdb86496,Morgan Reed,2026-03-05T10:46:27,2026-03-14T10:46:27,Won,Mentorship Standard,5000,Paid in Full,5000.0,0.0,1,0
sale_7bb36b199fae,lead_7ce78c717015,book_242c1a1dce63,opp_a13c9e2c2e5c,Casey Bennett,2026-06-06T02:26:07,2026-06-08T02:26:07,Won,Workshop,750,2 Payments,375.0,375.0,2,0
sale_fc161203a63a,lead_6d1c5379fefc,book_adf7d517b50d,opp_07c9f0763549,Riley Carter,2026-04-30T05:14:12,2026-05-10T05:14:12,Won,Mentorship Standard,4500,Paid in Full,4500.0,0.0,1,500
sale_a64aa4acbebf,lead_6f298ea66771,book_7f05a058151c,opp_98fc4f0cc0a6,Casey Bennett,2026-03-26T18:21:47,2026-04-08T18:21:47,Won,Group Program,2500,Paid in Full,2500.0,0.0,1,0
sale_9dba6c284bae,lead_511bdbe3e7b0,book_5f0ff657f588,opp_6fd877f444ed,Morgan Reed,2026-04-05T12:17:32,2026-04-12T12:17:32,Won,Mentorship Premium,10000,2 Payments,5000.0,5000.0,2,0
sale_9a4117f8a8ed,lead_ba2db8a7b042,book_836c31c0ec5a,opp_f8bf38770325,Riley Carter,2026-03-30T04:44:23,2026-04-01T04:44:23,Won,Mentorship Premium,10000,2 Payments,5000.0,5000.0,2,0
sale_fe003a6b5551,lead_e66a5151ce4d,book_f929004b745c,opp_43582c6c9a47,Riley Carter,2026-06-30T09:44:29,2026-07-01T09:44:29,Won,Mentorship Premium,10000,Paid in Full,10000.0,0.0,1,0
sale_aa8bec0390f6,lead_49b745f992ff,book_fb96c819e109,opp_020780464d27,Riley Carter,2026-02-23T22:17:08,2026-03-03T22:17:08,Won,Mentorship Standard,5000,Paid in Full,5000.0,0.0,1,0
sale_7c8e3eba4de7,lead_986f003ff784,book_4250046e6b6c,opp_b99c041c62aa,Casey Bennett,2026-06-14T15:44:50,2026-06-23T15:44:50,Won,Mentorship Standard,5000,Paid in Full,5000.0,0.0,1,0
sale_e0d3fa812ee5,lead_3bc8a16c6bfc,book_228749b0856c,opp_c5e3f71f99b2,Riley Carter,2026-04-08T05:44:05,2026-04-12T05:44:05,Won,Mentorship Standard,5000,Paid in Full,5000.0,0.0,1,0
sale_f686f353292f,lead_7f93ea2edde1,book_8109d3c598a7,opp_f78b0380e975,Casey Bennett,2026-01-15T09:42:32,2026-01-28T09:42:32,Won,Mentorship Standard,4000,Paid in Full,4000.0,0.0,1,1000
sale_2ec08a5979d0,lead_2623d162ecb5,book_4cf1925dca44,opp_f1e0cd3b44fe,Riley Carter,2026-03-25T21:35:59,2026-03-25T21:35:59,Won,Mentorship Standard,4750,Paid in Full,4750.0,0.0,1,250
sale_d87ea740bffd,lead_da1efd473d48,book_ad8654086350,opp_c20d9ad7ad5a,Casey Bennett,2026-03-12T07:01:30,2026-03-14T07:01:30,Won,Mentorship Premium,9750,Paid in Full,9750.0,0.0,1,250
sale_2a1b16ccb58a,lead_a1d0fcbd0f3b,book_88753477a054,opp_e98135b468a6,Casey Bennett,2026-05-23T23:02:56,2026-05-28T23:02:56,Won,Digital Course,197,4 Payments,49.25,49.25,4,250
sale_710b2e406843,lead_2d6c25fbba67,book_3004346200a3,opp_7b649d3b81e0,Morgan Reed,2026-04-14T14:05:49,2026-04-27T14:05:49,Won,Mentorship Standard,4500,Paid in Full,4500.0,0.0,1,500
sale_471e3eaae87f,lead_d3da4bcbdc44,book_a8ead20ea4f6,opp_ba5ff1b8a6f2,Riley Carter,2026-03-30T01:09:13,2026-04-01T01:09:13,Won,Mentorship Premium,9500,2 Payments,4750.0,4750.0,2,500
sale_7d0bfbcda792,lead_1c74d6624d63,book_d4e9fec8aea4,opp_1cbd07195e14,Riley Carter,2026-04-09T10:50:31,2026-04-19T10:50:31,Won,Mentorship Standard,5000,2 Payments,2500.0,2500.0,2,0
sale_bfa09875c11d,lead_f04f57e5c147,book_5b96e1a45da0,opp_fcbe9728902f,Casey Bennett,2026-02-02T00:12:39,2026-02-11T00:12:39,Won,Digital Course,297,12 Payments,24.75,24.75,12,0
sale_3ea847257f0d,lead_3f0dd229d09e,book_d414201f8f62,opp_d6d55f2ee0d3,Riley Carter,2026-02-20T12:03:14,2026-02-22T12:03:14,Won,Mentorship Premium,10000,Paid in Full,10000.0,0.0,1,0
sale_a9e4469937cb,lead_02bbe708279a,book_97cc15da7e6f,opp_689df277d507,Casey Bennett,2026-02-20T11:09:12,2026-02-24T11:09:12,Won,Mentorship Standard,5000,Paid in Full,5000.0,0.0,1,0
sale_786c20ce79b5,lead_1451d7466f22,book_2074cb37d2a9,opp_21f9c6cff064,Casey Bennett,2026-02-09T13:18:01,2026-02-23T13:18:01,Won,Mentorship Premium,9750,4 Payments,2437.5,2437.5,4,250
