activity_id,lead_id,booking_id,activity_date,representative_name,representative_role,activity_type,activity_result,notes,duration_minutes
act_34ce81caee2a,lead_623cef702c74,,2026-04-19T21:07:34,Alex Morgan,Setter,Call,Interested,Quia ad doloribus dignissimos beatae deleniti placeat dolorem laudantium aspernatur.,6
act_28dcf35ec383,lead_623cef702c74,,2026-04-17T08:07:34,Alex Morgan,Setter,WhatsApp,Connected,Ab veniam laborum occaecati distinctio impedit repellat neque soluta tempore enim.,1
act_ba98791e20b8,lead_623cef702c74,,2026-04-16T06:07:34,Alex Morgan,Setter,SMS,Connected,Maxime aliquid corporis atque delectus earum voluptate error error nam.,5
act_2515422d052a,lead_623cef702c74,book_6a2e535d69b1,2026-04-13T03:07:34,Riley Carter,Closer,Consultation,Follow Up Required,Doloribus facere ratione eum quisquam velit rerum nemo non excepturi tempora fugit.,50
act_6961b64ac12e,lead_623cef702c74,book_6a2e535d69b1,2026-04-18T07:07:34,Riley Carter,Closer,Follow Up,Follow Up Required,Numquam blanditiis ad ipsum culpa tempore quas numquam labore repellat voluptas.,31
act_ce03a8966cb6,lead_019ea8e4de1b,,2026-02-26T18:19:39,Alex Morgan,Setter,Call,Follow Up Required,Sed et voluptate eum ullam modi.,7
act_83a9175af8bc,lead_019ea8e4de1b,,2026-02-23T00:19:39,Alex Morgan,Setter,SMS,Connected,Non rem voluptas impedit similique vel quibusdam eius ipsa veritatis ipsum voluptatum possimus.,2
act_ef8ec5c81e5e,lead_0455c845a5bc,,2026-02-28T09:58:27,Jordan Lee,Setter,SMS,Interested,Quod repudiandae ipsum eos delectus voluptas ea unde odio temporibus voluptate ullam.,12
act_c60661ee98ba,lead_0455c845a5bc,,2026-03-04T20:58:27,Jordan Lee,Setter,WhatsApp,Follow Up Required,In reiciendis eligendi natus cupiditate blanditiis hic libero et qui.,12
act_a3c3e7201307,lead_0455c845a5bc,,2026-03-08T20:58:27,Jordan Lee,Setter,SMS,Interested,Alias voluptatem asperiores sunt sint aspernatur sit expedita occaecati.,3
act_6ab1bcb9cbf8,lead_0455c845a5bc,,2026-03-11T08:58:27,Jordan Lee,Setter,SMS,Follow Up Required,Harum laboriosam necessitatibus sapiente quos earum.,9
act_502d41f46a14,lead_0455c845a5bc,,2026-03-04T15:58:27,Jordan Lee,Setter,WhatsApp,No Answer,Facere maxime ab aliquid aliquam eos ad quae ducimus facere numquam.,11
act_29bada7f7790,lead_0455c845a5bc,,2026-03-06T23:58:27,Jordan Lee,Setter,Call,Interested,Minus distinctio quasi modi ipsam cupiditate illo eligendi tempora neque.,9
act_f45e4a7f38ee,lead_0455c845a5bc,book_97799f004db3,2026-02-25T04:58:27,Morgan Reed,Closer,Consultation,Qualified,Similique id consequatur ipsam aperiam vitae minus.,59
act_5a03ed0d2e77,lead_0455c845a5bc,book_97799f004db3,2026-03-01T11:58:27,Morgan Reed,Closer,Consultation,Qualified,Nobis qui at magni cupiditate tempora recusandae fugit debitis omnis animi perferendis.,15
act_ca1014af8694,lead_92f5b79455e5,,2026-03-21T19:57:54,Alex Morgan,Setter,Call,Connected,Necessitatibus nobis est autem velit ipsa saepe sed quod ducimus.,4
act_698339e263ef,lead_92f5b79455e5,,2026-03-31T00:57:54,Alex Morgan,Setter,WhatsApp,No Answer,Inventore earum veniam laborum quisquam quam harum deleniti quo repellendus numquam porro tempora quod.,6
act_5bb36a69bba7,lead_92f5b79455e5,,2026-03-17T04:57:54,Alex Morgan,Setter,WhatsApp,Follow Up Required,Praesentium commodi itaque iusto cum esse fugiat impedit.,1
act_281f1b0150d2,lead_8b61b1f7bfaf,,2026-07-07T21:12:28,Jordan Lee,Setter,SMS,Interested,Ullam eius nisi eligendi quis officia non quis dolorum.,8
act_483c85769c07,lead_8b61b1f7bfaf,,2026-07-09T19:12:28,Jordan Lee,Setter,Call,Follow Up Required,Assumenda optio dolorem magni quo sint sequi recusandae sint.,10
act_8d7b804e6884,lead_8b61b1f7bfaf,,2026-07-14T06:12:28,Jordan Lee,Setter,WhatsApp,Follow Up Required,Consectetur velit placeat eius laudantium quae repellendus culpa neque quibusdam eveniet nemo quaerat eaque.,6
act_42338ac7a26c,lead_8c3f43f8dc7c,,2026-05-02T10:39:21,Alex Morgan,Setter,Email,Connected,Voluptas tenetur nemo esse suscipit nemo est excepturi quis.,2
act_502b098986fa,lead_8c3f43f8dc7c,,2026-05-10T20:39:21,Alex Morgan,Setter,Call,Connected,Ducimus illo sunt recusandae culpa quibusdam nam sapiente magnam nam officia labore.,9
act_e57eeec7e90b,lead_8c3f43f8dc7c,,2026-05-11T03:39:21,Alex Morgan,Setter,Email,Connected,Laboriosam pariatur perferendis labore rem sequi iusto dignissimos minus.,3
act_ac3aa2eb9fe3,lead_8c3f43f8dc7c,book_31701c064fe4,2026-05-09T02:39:21,Riley Carter,Closer,Follow Up,Qualified,Dolorum sequi expedita natus sequi iste incidunt sed nemo esse.,23
act_05248c9be3d1,lead_8c3f43f8dc7c,book_31701c064fe4,2026-04-24T09:39:21,Riley Carter,Closer,Consultation,Qualified,Rem inventore possimus id animi nostrum nihil nobis tempora cum saepe.,60
act_8aca07392b15,lead_110d49db02b3,,2026-01-26T18:51:27,Jordan Lee,Setter,SMS,Connected,Exercitationem omnis nostrum beatae ipsa neque sapiente.,2
act_2ce13159dd64,lead_110d49db02b3,,2026-02-03T07:51:27,Jordan Lee,Setter,Call,No Answer,Minus explicabo quibusdam ipsum nemo ad.,8
act_074a839f7a28,lead_58040971da5b,,2026-02-14T13:01:22,Taylor Brooks,Setter,WhatsApp,Follow Up Required,Sapiente ipsa ratione recusandae quasi officiis repudiandae impedit aliquid esse.,2
act_411050cd395d,lead_58040971da5b,,2026-02-10T15:01:22,Taylor Brooks,Setter,WhatsApp,No Answer,Quos labore laboriosam repudiandae beatae alias rem sapiente iusto.,3
act_18fa4df64e73,lead_58040971da5b,,2026-02-04T23:01:22,Taylor Brooks,Setter,Call,Interested,Consequatur facilis veritatis accusantium assumenda fuga.,10
act_b25eb36479f8,lead_58d0d132cc31,,2026-05-05T00:45:22,Taylor Brooks,Setter,Call,Interested,Ducimus eligendi odit quos porro soluta eum repellat consequatur.,9
act_9742c9adf6c6,lead_58d0d132cc31,,2026-04-29T23:45:22,Taylor Brooks,Setter,WhatsApp,Connected,Voluptatibus dolor ea temporibus ut mollitia explicabo quasi quae omnis.,6
act_509877bf5cd9,lead_58d0d132cc31,,2026-05-17T02:45:22,Taylor Brooks,Setter,SMS,No Answer,Velit vel perferendis distinctio repudiandae porro voluptas a temporibus ex.,7
act_f79d21d47e8f,lead_0134da8e98c1,,2026-02-26T10:02:52,Alex Morgan,Setter,SMS,Connected,Tempore veritatis quos placeat cum unde iusto minus provident quo labore nemo perferendis.,1
act_13fc1b401803,lead_5c8ba2b8982e,,2026-02-16T12:26:28,Jordan Lee,Setter,WhatsApp,No Answer,Libero veniam nam voluptatibus sapiente sint quasi officia incidunt illo doloremque unde repellat.,5
act_539e3a457f0c,lead_5c8ba2b8982e,,2026-02-20T05:26:28,Jordan Lee,Setter,SMS,Follow Up Required,Adipisci odio quod ipsa soluta eaque cupiditate temporibus nobis reprehenderit voluptates deserunt.,8
act_f8167d0f2857,lead_44d59478cda7,,2026-07-01T20:10:08,Jordan Lee,Setter,Call,Follow Up Required,Aliquid vero nobis id aut explicabo laboriosam sit iusto minima.,1
act_bb0f63162508,lead_eac77b3e59db,,2026-02-16T14:49:47,Taylor Brooks,Setter,WhatsApp,Follow Up Required,Eius autem voluptatibus natus aperiam beatae deserunt.,1
act_5e67f5627a7c,lead_17e72ebe4593,,2026-07-14T02:09:28,Alex Morgan,Setter,Call,Follow Up Required,Neque accusantium saepe iusto cupiditate non exercitationem aut non expedita nostrum.,4
act_c912a5040232,lead_17e72ebe4593,,2026-07-13T07:09:28,Alex Morgan,Setter,WhatsApp,No Answer,Aperiam numquam consequuntur amet pariatur accusantium aperiam dolor sed est qui accusantium.,6
act_e259c0b2fcf1,lead_be647e1f44dc,,2026-06-09T05:12:00,Alex Morgan,Setter,Call,Interested,Veniam laboriosam doloremque rerum inventore similique cupiditate quod.,4
act_206d6971e733,lead_4d1d9411f109,,2026-04-10T19:24:28,Jordan Lee,Setter,SMS,Follow Up Required,Eligendi mollitia at fugit neque explicabo nostrum blanditiis officia cupiditate sed in ea.,8
act_32a68f95aff5,lead_4d1d9411f109,,2026-04-12T13:24:28,Jordan Lee,Setter,SMS,Interested,Architecto autem culpa iure nobis atque ipsa facere expedita.,5
act_84b4f6149407,lead_03ca6f08be2a,,2026-05-06T20:13:10,Alex Morgan,Setter,SMS,No Answer,Officiis adipisci deleniti dolorem repellendus quibusdam animi.,8
act_a4b5ae39ebd8,lead_03ca6f08be2a,,2026-05-05T03:13:10,Alex Morgan,Setter,SMS,Interested,Nobis harum inventore inventore neque culpa nemo unde repudiandae nam.,8
act_f6f73cc639e1,lead_03ca6f08be2a,,2026-05-07T23:13:10,Alex Morgan,Setter,WhatsApp,Connected,Quam facere similique quia voluptatum suscipit minus error.,9
